Year,State/UT,City/Town/Village,S02 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
2020,Madhya Pradesh,Indore,11,20,71,32
2020,Madhya Pradesh,Jabalpur,2,14,69,27
2020,Madhya Pradesh,Katni,9,23,100,43
2020,Madhya Pradesh,Nagda,16,11,42,24
2020,Madhya Pradesh,Prithampur,10,16,74,29
2020,Madhya Pradesh,Sagar,3,14,64,23
2020,Madhya Pradesh,Satna,5,12,104,44
2020,Madhya Pradesh,Singrauli,29,36,143,56
2020,Madhya Pradesh,Ujjain,10,11,87,37
2020,Manipur,Imphal,5,22,137,69
2020,Meghalaya,Byrnihat,16,15,113,38
2020,Meghalaya,Dawki,3,13,29,16
2020,Meghalaya,Khliehriat,3,10,37,16
2020,Meghalaya,Nongstoin,2,13,31,18
2020,Meghalaya,Shillong,2,7,30,14
2020,Meghalaya,Tura,3,12,33,12
2020,Meghalaya,Umiam / Umsning,4,11,72,24
2020,Odisha,Angul,10,24,85,39
2020,Odisha,Balasore,2,11,76,40
2020,Odisha,Berhampur,4,17,53,23
2020,Odisha,Bonaigarh,7,12,85,37
2020,Odisha,Jharsuguda,7,12,86,42
2020,Odisha,Rajgangpur,7,11,92,37
2020,Odisha,Rayagada,4,15,63,30
2020,Odisha,Rourkela,6,11,75,31
2020,Odisha,Rourkela,6,11,75,33
2020,Odisha,Rourkela,6,11,76,31
2020,Odisha,Rourkela,6,11,76,33
2020,Odisha,Sambalpur,5,22,67,42
2020,Odisha,Talcher,9,27,98,34
2020,Tamilnadu,Chennai,14,16,54,30
2020,Tamilnadu,Coimbatore,6,17,45,20
2020,Tamilnadu,Cuddalore,13,17,51,32
2020,Tamilnadu,Nizamabad,5,25,62,35
2020,Tamilnadu,Sangareddy,6,52,86,36
2020,Tamilnadu,Trichy,11,16,36,19
2020,Tripura,Agartala,8,8,67,49
2020,Uttar Pradesh,Agra,4,17,152,86
2020,Uttar Pradesh,Baghpat,10,26,196,106
2020,Uttar Pradesh,Bareily,23,28,133,27
2020,Uttar Pradesh,Ghaziabad,11,39,201,105
2020,Uttar Pradesh,Greater Noida,10,32,224,118
2020,Uttar Pradesh,Hapur,22,23,229,160
2020,Uttar Pradesh,Kanpur,12,60,241,40
2020,Uttar Pradesh,Muzaffarnagar,14,21,143,60
2020,Uttar Pradesh,Noida,11,68,198,108
2020,Uttarakhand,Dehradun,21,25,122,74
2020,West Bengal,Asansol,13,32,111,65
2020,West Bengal,Barrackpore,4,20,83,49
2020,West Bengal,Darjeeling,8,34,57,28
2020,West Bengal,Durgapur,13,32,111,57
2020,West Bengal,Haldia,11,38,87,44
2020,West Bengal,Howrah,13,43,124,67
2020,West Bengal,Kalyani,3,17,75,42
2020,West Bengal,Kolkata,6,47,92,52
2020,West Bengal,Siliguri,9,36,94,44
